"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"08.12.2008 14:18";"20.2";"51";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:19";"20.2";"51";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:20";"20.2";"51";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:21";"20.2";"51";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:22";"20.2";"51";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:23";"20.2";"51";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:24";"20.1";"51";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:25";"20.1";"51";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:26";"20.1";"51";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:27";"20.1";"51";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:28";"20.1";"51";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:29";"20.1";"51";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:30";"20.1";"51";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:31";"20.1";"51";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:32";"20.1";"51";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:33";"20.1";"51";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:34";"20.1";"52";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:35";"20.1";"51";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:36";"20.1";"52";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
