"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"01.04.2009 09:06";"23.6";"38";"22.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:07";"23.6";"50";"22.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:08";"23.6";"50";"22.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:09";"23.7";"45";"22.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:10";"23.6";"43";"22.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:11";"23.2";"41";"22.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:12";"22.5";"38";"22.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:13";"22.3";"37";"20.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:14";"20.7";"33";"20.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:15";"19.7";"31";"20.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:16";"18.7";"30";"20.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:17";"17.8";"28";"20.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:18";"17.6";"27";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:19";"16.2";"26";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:20";"15.5";"25";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:21";"14.8";"26";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:22";"14.3";"26";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:23";"14.2";"27";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:24";"13.3";"29";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:25";"12.9";"30";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:26";"12.6";"32";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:27";"12.2";"33";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:28";"12.2";"33";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:29";"11.7";"36";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:30";"11.5";"38";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:31";"11.3";"39";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:32";"11.1";"40";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:33";"11.1";"40";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:34";"10.8";"42";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:35";"10.7";"43";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:36";"10.5";"44";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:37";"10.4";"45";"21.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:38";"10.4";"45";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:39";"10.2";"46";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:40";"10.2";"47";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:41";"10.1";"48";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:42";"10.0";"48";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:43";"10.0";"49";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:44";"9.9";"49";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:45";"9.8";"48";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:46";"9.7";"45";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:47";"9.6";"43";"21.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:48";"9.6";"42";"21.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:49";"9.3";"38";"21.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:50";"9.2";"37";"21.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:51";"9.0";"36";"21.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:52";"8.9";"35";"21.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:53";"8.8";"35";"21.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:54";"8.6";"36";"21.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"01.04.2009 09:55";"8.6";"37";"21.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
